example_id                                       | status  | run_time        |
./spec/routing/practices_routing_spec.rb[1:1:5]  | passed  | 0.00842 seconds |
./spec/routing/practices_routing_spec.rb[1:1:6]  | passed  | 0.00932 seconds |
./spec/routing/practices_routing_spec.rb[1:1:7]  | passed  | 0.00838 seconds |
./spec/routing/practices_routing_spec.rb[1:1:8]  | passed  | 0.00862 seconds |
./spec/routing/squads_routing_spec.rb[1:1:1]     | passed  | 0.00812 seconds |
./spec/routing/squads_routing_spec.rb[1:1:2]     | passed  | 0.00776 seconds |
./spec/routing/squads_routing_spec.rb[1:1:3]     | passed  | 0.00776 seconds |
./spec/routing/squads_routing_spec.rb[1:1:4]     | passed  | 0.00771 seconds |
./spec/routing/squads_routing_spec.rb[1:1:5]     | passed  | 0.00689 seconds |
./spec/routing/squads_routing_spec.rb[1:1:6]     | passed  | 0.00591 seconds |
./spec/routing/squads_routing_spec.rb[1:1:7]     | passed  | 0.00688 seconds |
./spec/routing/squads_routing_spec.rb[1:1:8]     | passed  | 0.00812 seconds |
./spec/routing/teams_routing_spec.rb[1:1:1]      | passed  | 0.00833 seconds |
./spec/routing/teams_routing_spec.rb[1:1:2]      | passed  | 0.00735 seconds |
./spec/routing/teams_routing_spec.rb[1:1:3]      | passed  | 0.00685 seconds |
./spec/routing/teams_routing_spec.rb[1:1:4]      | passed  | 0.00809 seconds |
./spec/routing/teams_routing_spec.rb[1:1:5]      | passed  | 0.00945 seconds |
./spec/routing/teams_routing_spec.rb[1:1:6]      | passed  | 0.00892 seconds |
./spec/routing/teams_routing_spec.rb[1:1:7]      | passed  | 0.00736 seconds |
./spec/routing/teams_routing_spec.rb[1:1:8]      | passed  | 0.0068 seconds  |
./spec/views/libraries/form.haml_spec.rb[1:1]    | passed  | 0.07087 seconds |
./spec/views/libraries/index.haml_spec.rb[1:1]   | failed  | 0.08002 seconds |
./spec/views/libraries/show.haml_spec.rb[1:1]    | failed  | 0.04834 seconds |
./spec/views/matches/edit.html.erb_spec.rb[1:1]  | failed  | 0.01329 seconds |
./spec/views/matches/index.html.erb_spec.rb[1:1] | failed  | 0.00782 seconds |
./spec/views/matches/new.html.erb_spec.rb[1:1]   | failed  | 0.01936 seconds |
./spec/views/matches/show.html.erb_spec.rb[1:1]  | failed  | 0.01083 seconds |
./spec/views/practices/form.haml_spec.rb[1:1]    | failed  | 0.02597 seconds |
./spec/views/practices/index.haml_spec.rb[1:1]   | failed  | 0.11488 seconds |
./spec/views/practices/show.haml_spec.rb[1:1]    | failed  | 0.06014 seconds |
./spec/views/squads/form.haml_spec.rb[1:1]       | passed  | 0.32454 seconds |
./spec/views/squads/index.haml_spec.rb[1:1]      | failed  | 0.07868 seconds |
./spec/views/squads/show.haml_spec.rb[1:1]       | failed  | 0.07345 seconds |
./spec/views/teams/edit.html.erb_spec.rb[1:1]    | failed  | 0.00812 seconds |
./spec/views/teams/index.html.erb_spec.rb[1:1]   | failed  | 0.0104 seconds  |
./spec/views/teams/new.html.erb_spec.rb[1:1]     | failed  | 0.02056 seconds |
./spec/views/teams/show.html.erb_spec.rb[1:1]    | failed  | 0.01063 seconds |
